id,Locality,Billing Zone
1,ADARSH NAGAR,ADARSH NAGAR
2,ADCHINI,ADCHINI
3,SARVODAY ENCLAVE,ADCHINI
4,AEROCITY,AEROCITY
5,ANAND NIKETAN,AIRFORCE PALAM/ANAND NIKETAN
6,AKSHARDHAM,AKSHARDHAM
7,ALAKNANDA,ALAKNANDA
8,ALIPUR,ALIPUR (GT ROAD)
9,MUKHMELPUR,ALIPUR (GT ROAD)
10,ANAND VIHAR,ANAND VIHAR
11,KARKARDOOMA,ANAND VIHAR
12,ANDREWS GANJ,ANDREWS GANJ
13,ARJUN NAGAR,ARJUN NAGAR
14,FBD ASHOKA ENCLAVE,ASHOK ENCLAVE FBD
15,ASHOK NAGAR,ASHOK NAGAR (NEAR TILAK NAGAR)
16,NEW ASHOK NAGAR,ASHOK NAGAR NEW
17,ASHOK VIHAR,ASHOK VIHAR
18,ASHRAM,ASHRAM
19,CHANDAN HULLA,ASOLA VILLAGE
20,AYA NAGAR,AYA NAGAR
21,GHITORNI,AYA NAGAR
22,JAUNAPUR,AYA NAGAR
23,AZADPUR,AZADPUR
24,BADARPUR,BADARPUR/AZADPUR
25,PUL PEHLADPUR,BADARPUR/AZADPUR
26,BAHADURGARH,BAHADURGARH
27,BALI NAGAR,BALI NAGAR
28,BAPROLA VIHAR,BAPROLA VIHAR
29,BARA HINDU RAO,BARA HINDU RAO
30,BAWANA,BAWANA
31,BER SARAI,BER SARAI
32,BHAJANPURA,BHAJAN PURA (SHAHADRA)
33,BIJWASAN,BIJWASAN ROAD
34,BINDAPUR,BINDAPUR
35,JIWAN PARK,BINDAPUR
36,VISHWAS PARK,BINDAPUR
37,BUDH VIHAR,BUDDH VIHAR NEAR RITHALA
38,BURARI,BURARI
39,JHARODA,BURARI
40,MAJLIS PARK,BURARI
41,MUKUNDPUR,BURARI
42,SWAROOP NAGAR,BURARI
43,CHAND NAGAR,"CHAND NAGAR, CHIRAG DELHI"
44,CHIRAG DELHI,"CHAND NAGAR, CHIRAG DELHI"
45,CHANDER VIHAR,CHANDER VIHAR
46,ASAF ALI ROAD,CHANDNI CHOWK
47,AZAD MARKET,CHANDNI CHOWK
48,CHAWRI BAZAR,CHANDNI CHOWK
49,CHATTARPUR,CHATTARPUR
50,CHHAWLA VILLAGE,CHHAWLA
51,CIVIL LINES,CIVIL LINES
52,BARAKHAMBA ROAD,CONNAUGHT PLACE
53,CONNAUGHT PLACE,CONNAUGHT PLACE
54,CR PARK,CR PARK
55,CHANAKYA PLACE,DABRI/RAJAPURI
56,DABRI,DABRI/RAJAPURI
57,RAGHU NAGAR,DABRI/RAJAPURI
58,DAKSHINPURI,DAKSHINPURI
59,DARYA GANJ,DARYA GANJ
60,DEFENCE COLONY,DEFENCE COLONY
61,RACE COURSE,DELHI RACE CLUB
62,DHAULA KUAN,DHAULA KUAN
63,DILSHAD GARDEN,DILSHAD GARDEN/ VIVEK VIHAR
64,HARSH VIHAR,DILSHAD GARDEN/ VIVEK VIHAR
65,VIVEK VIHAR,DILSHAD GARDEN/ VIVEK VIHAR
66,BAGDOLA,DWARKA SEC 1 2 6 7 8
67,DWARKA SEC 1,DWARKA SEC 1 2 6 7 8
68,DWARKA SEC 2,DWARKA SEC 1 2 6 7 8
69,DWARKA SEC 6,DWARKA SEC 1 2 6 7 8
70,DWARKA SEC 7,DWARKA SEC 1 2 6 7 8
71,DWARKA SEC 8,DWARKA SEC 1 2 6 7 8
72,RAMPHAL CHOWK,DWARKA SEC 1 2 6 7 8
73,DWARKA SEC 15,DWARKA SEC 15
74,DWARKA SEC 18,DWARKA SEC 18A 18B 20 TO 23
75,DWARKA SEC 20,DWARKA SEC 18A 18B 20 TO 23
76,DWARKA SEC 21,DWARKA SEC 18A 18B 20 TO 23
77,DWARKA SEC 22,DWARKA SEC 18A 18B 20 TO 23
78,DWARKA SEC 23,DWARKA SEC 18A 18B 20 TO 23
79,POCHANPUR,DWARKA SEC 18A 18B 20 TO 23
80,DWARKA SEC 24,DWARKA SEC 24
81,BHARTHAL,DWARKA SEC 26 27 28 29
82,DWARKA SEC 26,DWARKA SEC 26 27 28 29
83,DWARKA SEC 27,DWARKA SEC 26 27 28 29
84,DWARKA SEC 28,DWARKA SEC 26 27 28 29
85,DWARKA SEC 29,DWARKA SEC 26 27 28 29
86,DWARKA SEC 12,DWARKA SEC 3 4 12 13 14 16 17
87,DWARKA SEC 13,DWARKA SEC 3 4 12 13 14 16 17
88,DWARKA SEC 14,DWARKA SEC 3 4 12 13 14 16 17
89,DWARKA SEC 16,DWARKA SEC 3 4 12 13 14 16 17
90,DWARKA SEC 17,DWARKA SEC 3 4 12 13 14 16 17
91,DWARKA SEC 3,DWARKA SEC 3 4 12 13 14 16 17
92,DWARKA SEC 4,DWARKA SEC 3 4 12 13 14 16 17
93,DWARKA SEC 10,DWARKA SEC 5 9 10 11 19
94,DWARKA SEC 11,DWARKA SEC 5 9 10 11 19
95,DWARKA SEC 19,DWARKA SEC 5 9 10 11 19
96,DWARKA SEC 5,DWARKA SEC 5 9 10 11 19
97,DWARKA SEC 9,DWARKA SEC 5 9 10 11 19
98,NANDA ENCLAVE,DWARKA SEC 5 9 10 11 19
99,FBD SEC 21,FARIDABAD SEC 21
100,FBD SEC 45,FARIDABAD SEC 45
101,FATEH NAGAR,FATEH NAGAR
102,FATEHPUR BERI,FATEHPUR BERI
103,FBD SURAJKUND,FBD CHARMWOOD/ SURAJ KUND
104,FBD GREEN FIELD COLONY,FBD GREEN FIELD
105,FBD SEC 20,FBD SEC 20
106,FBD SEC 121,FBD SEC 28 121
107,FBD SEC 28,FBD SEC 28 121
108,FBD MAHARAJPUR,FBD SEC 31 35 37
109,FBD SEC 31,FBD SEC 31 35 37
110,FBD SEC 33,FBD SEC 31 35 37
111,FBD SEC 35,FBD SEC 31 35 37
112,FBD SEC 37,FBD SEC 31 35 37
113,FBD SEC 49,FBD SEC 49
114,FBD GANDHI COLONY,FBD SEC 7B 8 15 17 45 46 75 23 10 NIT
115,FBD NIT,FBD SEC 7B 8 15 17 45 46 75 23 10 NIT
116,FBD SEC 10,FBD SEC 7B 8 15 17 45 46 75 23 10 NIT
117,FBD SEC 15,FBD SEC 7B 8 15 17 45 46 75 23 10 NIT
118,FBD SEC 17,FBD SEC 7B 8 15 17 45 46 75 23 10 NIT
119,FBD SEC 22,FBD SEC 7B 8 15 17 45 46 75 23 10 NIT
120,FBD SEC 23,FBD SEC 7B 8 15 17 45 46 75 23 10 NIT
121,FBD SEC 46,FBD SEC 7B 8 15 17 45 46 75 23 10 NIT
122,FBD SEC 7,FBD SEC 7B 8 15 17 45 46 75 23 10 NIT
123,FBD SEC 75,FBD SEC 7B 8 15 17 45 46 75 23 10 NIT
124,FBD SEC 8,FBD SEC 7B 8 15 17 45 46 75 23 10 NIT
125,FBD SEC 89,FBD SEC 7B 8 15 17 45 46 75 23 10 NIT
126,FBD SEC 82,FBD SEC 82
127,FBD SEC 83,FBD SEC 83
128,FBD SEC 85,FBD SEC 85
129,FBD SEC 86,FBD SEC 86
130,FBD SEC 87,FBD SEC 87
131,FBD SEC 88,FBD SEC 88
132,FBD SEC 91,FBD SEC 91
133,FBD SEC 81,FBD SEC 81
134,FBD SEHATPUR,FBD SEHATPUR
135,FBD SGM NAGAR,FBD SGM NAGAR
136,GANDHI VIHAR,GANDHI VIHAR
137,GAUTAM NAGAR,GAUTAM NAGAR/ GOLF LINK
138,GOLF LINK APPARTMENT,GAUTAM NAGAR/ GOLF LINK
139,GZB BAMHETA,GAZIABAD CROSSING
140,GZB BHARAT CITY,GAZIABAD CROSSING
141,GZB BHOPURA,GAZIABAD CROSSING
142,GZB BRIJ VIHAR,GAZIABAD CROSSING
143,GZB CHANDER NAGAR,GAZIABAD CROSSING
144,GZB CHIRANJIV VIHAR,GAZIABAD CROSSING
145,GZB CROSSING REPUBLIC,GAZIABAD CROSSING
146,GZB DILSHAD EXTN,GAZIABAD CROSSING
147,GZB GANGAPURAM,GAZIABAD CROSSING
148,GZB GOVINDPURAM,GAZIABAD CROSSING
149,GZB KAUSHAMBI,GAZIABAD CROSSING
150,GZB LONI,GAZIABAD CROSSING
151,GZB MOHAN NAGAR,GAZIABAD CROSSING
152,GZB NANDGRAM,GAZIABAD CROSSING
153,GZB NEHRU NAGAR,GAZIABAD CROSSING
154,GZB NEW ARYA NAGAR,GAZIABAD CROSSING
155,GZB PANCHWATI COLONY,GAZIABAD CROSSING
156,GZB PANDAV NAGAR,GAZIABAD CROSSING
157,GZB PATEL NAGAR,GAZIABAD CROSSING
158,GZB PRATAP VIHAR,GAZIABAD CROSSING
159,GZB RAJ NAGAR EXTN,GAZIABAD CROSSING
160,GZB RAJENDRA NAGAR,GAZIABAD CROSSING
161,GZB RAMA KRISHNA COLONY,GAZIABAD CROSSING
162,GZB RAMPRASTHA COLONY,GAZIABAD CROSSING
163,GZB SANJAY NAGAR,GAZIABAD CROSSING
164,GZB SHALIMAR GARDEN,GAZIABAD CROSSING
165,GZB SHYAM PARK,GAZIABAD CROSSING
166,GZB SIDDHARTH VIHAR,GAZIABAD CROSSING
167,GZB TURUB NAGAR,GAZIABAD CROSSING
168,GZB VIJAY NAGAR,GAZIABAD CROSSING
169,GZB VIVEKANAND NAGAR,GAZIABAD CROSSING
170,GZB INDIRAPURAM,GAZIABAD SHAHIBABAD INDIRAPURAM VAISHALI
171,GZB SAHIBABAD,GAZIABAD SHAHIBABAD INDIRAPURAM VAISHALI
172,GZB VAISHALI,GAZIABAD SHAHIBABAD INDIRAPURAM VAISHALI
173,GZB VASUNDHARA,GAZIABAD SHAHIBABAD INDIRAPURAM VAISHALI
174,GEETA COLONY,GEETA COLONY
175,GGN MANESAR,GGN (MANESAR)
176,GGN RAJIV NAGAR,GGN (RAJEEV CHOWK/ RAJIV NAGAR)
177,GGN SOHNA ROAD,GGN (SOHNA ROAD) / VATIKA CITY
178,GGN SOUTH CITY 1,GGN (SOUTH CITY-1)
179,GGN SUSHANT LOK 1,GGN (SUSHANT LOK-1)
180,GGN SUSHANT LOK 2,GGN (SUSHANT LOK-2)
181,GGN LAXMAN VIHAR,GGN 37C LAXMAN VIHAR
182,GGN SEC 37,GGN 37C LAXMAN VIHAR
183,GGN ASHOK VIHAR,GGN ASHOK VIHAR
184,GGN DAULATABAD,GGN DAULTABAD
185,GGN DLF PHASE 3,GGN DLF PH- 3
186,GGN DLF PHASE 4,GGN DLF PH- 4
187,GGN DLF PHASE 5,GGN DLF PH- 5
188,GGN DLF PHASE 1,GGN DLF PHASE 1 AND 2
189,GGN DLF PHASE 2,GGN DLF PHASE 1 AND 2
190,GGN PALAM VIHAR,GGN PALAM VIHAR
191,GGN SEC 10,GGN SEC 10 10A 66 67 72
192,GGN SEC 101,GGN SEC 101 TO 112
193,GGN SEC 102,GGN SEC 101 TO 112
194,GGN SEC 103,GGN SEC 101 TO 112
195,GGN SEC 104,GGN SEC 101 TO 112
196,GGN SEC 105,GGN SEC 101 TO 112
197,GGN SEC 106,GGN SEC 101 TO 112
198,GGN SEC 107,GGN SEC 101 TO 112
199,GGN SEC 108,GGN SEC 101 TO 112
200,GGN SEC 109,GGN SEC 101 TO 112
201,GGN SEC 110,GGN SEC 101 TO 112
202,GGN SEC 111,GGN SEC 101 TO 112
203,GGN SEC 112,GGN SEC 101 TO 112
204,GGN MARUTI VIHAR,GGN SEC 15 TO 25 27 28 30 31 32 33 IFFCO
205,GGN PATEL NAGAR,GGN SEC 15 TO 25 27 28 30 31 32 33 IFFCO
206,GGN SEC 15,GGN SEC 15 TO 25 27 28 30 31 32 33 IFFCO
207,GGN SEC 16,GGN SEC 15 TO 25 27 28 30 31 32 33 IFFCO
208,GGN SEC 17,GGN SEC 15 TO 25 27 28 30 31 32 33 IFFCO
209,GGN SEC 18,GGN SEC 15 TO 25 27 28 30 31 32 33 IFFCO
210,GGN SEC 19,GGN SEC 15 TO 25 27 28 30 31 32 33 IFFCO
211,GGN SEC 20,GGN SEC 15 TO 25 27 28 30 31 32 33 IFFCO
212,GGN SEC 21,GGN SEC 15 TO 25 27 28 30 31 32 33 IFFCO
213,GGN SEC 22,GGN SEC 15 TO 25 27 28 30 31 32 33 IFFCO
214,GGN SEC 23,GGN SEC 15 TO 25 27 28 30 31 32 33 IFFCO
215,GGN SEC 24,GGN SEC 15 TO 25 27 28 30 31 32 33 IFFCO
216,GGN SEC 25,GGN SEC 15 TO 25 27 28 30 31 32 33 IFFCO
217,GGN SEC 27,GGN SEC 15 TO 25 27 28 30 31 32 33 IFFCO
218,GGN SEC 28,GGN SEC 15 TO 25 27 28 30 31 32 33 IFFCO
219,GGN SEC 30,GGN SEC 15 TO 25 27 28 30 31 32 33 IFFCO
220,GGN SEC 31,GGN SEC 15 TO 25 27 28 30 31 32 33 IFFCO
221,GGN SEC 32,GGN SEC 15 TO 25 27 28 30 31 32 33 IFFCO
222,GGN SEC 33,GGN SEC 15 TO 25 27 28 30 31 32 33 IFFCO
223,GGN NEW PALAM VIHAR,GGN SEC 39 40 41 UNIWORLD 3T NEW PALAM
224,GGN SEC 39,GGN SEC 39 40 41 UNIWORLD 3T NEW PALAM
225,GGN SEC 40,GGN SEC 39 40 41 UNIWORLD 3T NEW PALAM
226,GGN SEC 41,GGN SEC 39 40 41 UNIWORLD 3T NEW PALAM
227,GGN SEC 11,GGN SEC 4 5 11 TO 14 38
228,GGN SEC 12,GGN SEC 4 5 11 TO 14 38
229,GGN SEC 13,GGN SEC 4 5 11 TO 14 38
230,GGN SEC 14,GGN SEC 4 5 11 TO 14 38
231,GGN SEC 3,GGN SEC 4 5 11 TO 14 38
232,GGN SEC 38,GGN SEC 4 5 11 TO 14 38
233,GGN SEC 4,GGN SEC 4 5 11 TO 14 38
234,GGN SEC 5,GGN SEC 4 5 11 TO 14 38
235,GGN SHEETLA COLONY,GGN SEC 4 5 11 TO 14 38
236,GGN SEC 66,GGN SEC- 66 TO 69
237,GGN SEC 67,GGN SEC- 66 TO 69
238,GGN SEC 68,GGN SEC- 66 TO 69
239,GGN SEC 69,GGN SEC- 66 TO 69
240,GGN BALDEV NAGAR,GGN SEC 7 42 43
241,GGN KRISHNA COLONY,GGN SEC 7 42 43
242,GGN SEC 42,GGN SEC 7 42 43
243,GGN SEC 43,GGN SEC 7 42 43
244,GGN SEC 7,GGN SEC 7 42 43
245,GGN SHIVPURI,GGN SEC 7 42 43
246,GGN SEC 70,GGN SEC- 70 TO 79
247,GGN SEC 71,GGN SEC- 70 TO 79
248,GGN SEC 72,GGN SEC- 70 TO 79
249,GGN SEC 73,GGN SEC- 70 TO 79
250,GGN SEC 74,GGN SEC- 70 TO 79
251,GGN SEC 75,GGN SEC- 70 TO 79
252,GGN SEC 76,GGN SEC- 70 TO 79
253,GGN SEC 77,GGN SEC- 70 TO 79
254,GGN SEC 78,GGN SEC- 70 TO 79
255,GGN SEC 79,GGN SEC- 70 TO 79
256,GGN SEC 80,GGN SEC- 80 TO 89
257,GGN SEC 81,GGN SEC- 80 TO 89
258,GGN SEC 82,GGN SEC- 80 TO 89
259,GGN SEC 83,GGN SEC- 80 TO 89
260,GGN SEC 84,GGN SEC- 80 TO 89
261,GGN SEC 85,GGN SEC- 80 TO 89
262,GGN SEC 86,GGN SEC- 80 TO 89
263,GGN SEC 87,GGN SEC- 80 TO 89
264,GGN SEC 88,GGN SEC- 80 TO 89
265,GGN SEC 89,GGN SEC- 80 TO 89
266,GGN BASAI ROAD,GGN SEC 9 9A 47 GWAL PAHADI AND MALIBU TOWN
267,GGN GWAL PAHARI,GGN SEC 9 9A 47 GWAL PAHADI AND MALIBU TOWN
268,GGN SEC 47,GGN SEC 9 9A 47 GWAL PAHADI AND MALIBU TOWN
269,GGN SEC 9,GGN SEC 9 9A 47 GWAL PAHADI AND MALIBU TOWN
270,GGN SEC 90,GGN SEC 90
271,GGN SEC 91,GGN SEC 90
272,GGN SEC 93,GGN SEC 90
273,GGN SEC 95,GGN SEC 90
274,GGN SEC 95A,GGN SEC 90
275,GGN SEC 50,GGN SEC-50 TO 59
276,GGN SEC 51,GGN SEC-50 TO 59
277,GGN SEC 52,GGN SEC-50 TO 59
278,GGN SEC 53,GGN SEC-50 TO 59
279,GGN SEC 54,GGN SEC-50 TO 59
280,GGN SEC 55,GGN SEC-50 TO 59
281,GGN SEC 56,GGN SEC-50 TO 59
282,GGN SEC 57,GGN SEC-50 TO 59
283,GGN SEC 58,GGN SEC-50 TO 59
284,GGN SEC 59,GGN SEC-50 TO 59
285,GGN WAZIRABAD,GGN SEC-50 TO 59
286,GGN SEC 61,GGN SEC-61 TO 65
287,GGN SEC 62,GGN SEC-61 TO 65
288,GGN SEC 63,GGN SEC-61 TO 65
289,GGN SEC 64,GGN SEC-61 TO 65
290,GGN SEC 65,GGN SEC-61 TO 65
291,GGN SUSHANT LOK 3,GGN SUSHANT LOK III
292,GGN SEC 45,GGN VISTA VIHAR SEC 45 46 GREEN WOOD
293,GGN SEC 46,GGN VISTA VIHAR SEC 45 46 GREEN WOOD
294,GHAZIPUR,GHAZIPUR
295,GHONDA,GHONDA
296,GOKALPUR,GOKALPUR
297,GOLE MARKET,GOLE MARKET
298,GOVINDPURI,GOVIND PURI
299,GOYLA VIHAR,GOYLA VIHAR
300,GREATER NOIDA,GR NOIDA
301,GREATER NOIDA WEST,GR NOIDA
302,NOIDA EXTN,GR NOIDA
303,NOIDA GAUR CITY,GR NOIDA
304,GREATER KAILASH,GREATER KAILASH - 1 AND 2
305,GREEN PARK,GREEN PARK
306,GTB NAGAR,GTB NAGAR (GT KARNAL ROAD)
307,HARI NAGAR,HARI NAGAR
308,HAUZ KHAS,HAUZ KHAS
309,INDERPURI,INDER PURI
310,INDERLOK,INDERLOK
311,IP EXTN,IP EXTENSION
312,JAMIA NAGAR,JAMIA MILIYA NAGAR
313,JANAKPURI,JANAKPURI/ MAHAVIR NAGAR
314,MAHAVIR NAGAR,JANAKPURI/ MAHAVIR NAGAR
315,JASOLA VIHAR,JASOLA VIHAR
316,KALINDI KUNJ,JASOLA VIHAR
317,JAHANGIR PURI,JHANGIR PURI
318,JHILMIL COLONY,JHILMIL COLONY
319,JUNGPURA,JUNG PURA/ JUNG PURA EXTN
320,EAST OF KAILASH,KAILASH COLONY
321,GARHI,KAILASH COLONY
322,KAILASH COLONY,KAILASH COLONY
323,KAILASH NAGAR,KAILASH NAGAR
324,KAKROLA,KAKROLA MODH
325,KALI BARI MARG,KALI BARI
326,KALKAJI,KALKA JI
327,NEHRU ENCLAVE,KALKA JI
328,KAMLA NAGAR,KAMLA NAGAR
329,ROSHNARA ROAD,KAMLA NAGAR
330,KANGANHERI,KANGAN HERI
331,KAPASHERA,KAPASHERA
332,KARAMPURA,KARAMPURA
333,KALYAN PURI,KARKARDOOMA KALYAN PURI KARAWAL NAGAR
334,KARAWAL NAGAR,KARKARDOOMA KALYAN PURI KARAWAL NAGAR
335,ANAND PARVAT,KAROL BAGH
336,KAROL BAGH,KAROL BAGH
337,KATWARIA SARAI,KATWARIA SARAI
338,KESHAV PURAM,KESHAV PURAM
339,DEVLI,KHANPUR
340,KHANPUR,KHANPUR
341,MADANGIR,KHANPUR
342,SANGAM VIHAR,KHANPUR
343,KHAYALA,KHAYALA
344,KHERI KALAN,KHERI KALAN
345,KIDWAI NAGAR,KIDWAI NAGAR
346,KINGHWAY CAMP,KINGHWAY CAMP
347,KINGSWAY CAMP,KINGHWAY CAMP
348,VIJAY NAGAR,KINGHWAY CAMP
349,KIRTI NAGAR,KIRTI NAGAR
350,KISHANGARH,KISHANGARH
351,KOTLA MUBARAKPUR,KOTLA MUBARAK PUR
352,GAGAN VIHAR,KRISHNA NAGAR
353,GOVINDPURA,KRISHNA NAGAR
354,KHUREJI KHAS,KRISHNA NAGAR
355,KRISHNA NAGAR,KRISHNA NAGAR
356,LAYAL PUR,KRISHNA NAGAR
357,SOUTH ANARKALI,KRISHNA NAGAR
358,KUNDALI,KUNDALI
359,LADO SARAI,LADO SARAI
360,AYURVIGYAN NAGAR,LAJPAT NAGAR 1 2 3 AND 4
361,LAJPAT NAGAR,LAJPAT NAGAR 1 2 3 AND 4
362,NEHRU NAGAR,LAJPAT NAGAR 1 2 3 AND 4
363,LAJWANTI GARDEN,LAJWANTI GARDEN
364,LAXMI BAI NAGAR,LAXMI BAI NAGAR
365,GURU ANGAD NAGAR,LAXMI NAGAR
366,LAXMI NAGAR,LAXMI NAGAR
367,LODHI COLONY,LODHI COLONY
368,MADANPUR KHADAR,MADANPUR KHADAR
369,BHAGWAN NAGAR,MAHARANI BAGH(MALKA GANJ)
370,JEEWAN NAGAR,MAHARANI BAGH(MALKA GANJ)
371,MAHARANI BAGH,MAHARANI BAGH(MALKA GANJ)
372,SIDDHARTH EXTN,MAHARANI BAGH(MALKA GANJ)
373,SUNLIGHT COLONY,MAHARANI BAGH(MALKA GANJ)
374,DASHRATH PURI,MAHAVIR ENCLAVE
375,MAHAVIR ENCLAVE,MAHAVIR ENCLAVE
376,NASIRPUR,MAHAVIR ENCLAVE
377,VIJAY ENCLAVE,MAHAVIR ENCLAVE
378,MAHIPALPUR,MAHIPALPUR
379,RANGPURI,MAHIPALPUR
380,MAIDAN GARHI,MAIDAN GARHI
381,MALKA GANJ,MALKA GANJ
