id,Locality,Billing Zone
382,MALVIYA NAGAR,MALVIYA NAGAR
383,MANDAWALI,MANDAWALI
384,MANDI HOUSE,MANDI HOUSE
385,MANGLAPURI,MANGLA PURI
386,MANGOL PURI,MANGOL PURI
387,MASJID MOTH,MASJID MOTH
388,MAYA ENCLAVE,MAYA ENCLAVE
389,MAYUR VIHAR 1,MAYUR VIHAR 1 AND 2
390,MAYUR VIHAR 2,MAYUR VIHAR 1 AND 2
391,MAYUR VIHAR 3,MAYUR VIHAR- 3
392,MANSAROVER GARDEN,MEENAKSHI GARDEN/ MANSAREWAR GARDEN
393,MEHRAM NAGAR,MEHRAM NAGAR
394,MEHRAULI,MEHRAULI
395,GUJRANWALA TOWN,MODEL TOWN
396,MODEL TOWN,MODEL TOWN
397,MOHAMMADPUR,MOHAMMADPUR
398,BHAGWATI GARDEN,MOHAN GARDEN
399,MOHAN GARDEN,MOHAN GARDEN
400,MOTI BAGH,MOTI BAGH
401,MOTI NAGAR,MOTI NAGAR
402,MUKHERJEE NAGAR,MUKHERJEE NAGAR
403,NEHRU VIHAR,MUKHERJEE NAGAR
404,BAKKARWALA,MUNDKA
405,KIRARI,MUNDKA
406,MUNIRKA,MUNIRKA
407,JHARODA KALAN,NAJAF GARH
408,NAJAFGARH,NAJAF GARH
409,SHYAM VIHAR,NAJAF GARH
410,MANDOLI,NAND NAGRI
411,NANGAL RAYA,NANGAL RAYA
412,NANGLOI,NANGLOI
413,NARAINA,NARAINA/ NARAINA VIHAR
414,NARELA,NARELA
415,NAWADA,NAWADA
416,IGNOU ROAD,NEB SARAI
417,NEB SARAI,NEB SARAI
418,SAIDULAJAB,NEB SARAI
419,NEELWAL,NEELWAL
420,NEW FRIENDS COLONY,NEW FRIENDS COLONY
421,NIHAL VIHAR,NIHAL VIHAR
422,NILOTHI,NILOTHI
423,NIRMAN VIHAR,NIRMAN VIHAR
424,NIZAMUDDIN,NIZAMUDDIN
425,SARAI KALE KHAN,NIZAMUDDIN
426,NOIDA SEC 1,NOIDA SEC 1 TO 74
427,NOIDA SEC 10,NOIDA SEC 1 TO 74
428,NOIDA SEC 11,NOIDA SEC 1 TO 74
429,NOIDA SEC 12,NOIDA SEC 1 TO 74
430,NOIDA SEC 13,NOIDA SEC 1 TO 74
431,NOIDA SEC 14,NOIDA SEC 1 TO 74
432,NOIDA SEC 15,NOIDA SEC 1 TO 74
433,NOIDA SEC 16,NOIDA SEC 1 TO 74
434,NOIDA SEC 17,NOIDA SEC 1 TO 74
435,NOIDA SEC 18,NOIDA SEC 1 TO 74
436,NOIDA SEC 19,NOIDA SEC 1 TO 74
437,NOIDA SEC 2,NOIDA SEC 1 TO 74
438,NOIDA SEC 20,NOIDA SEC 1 TO 74
439,NOIDA SEC 21,NOIDA SEC 1 TO 74
440,NOIDA SEC 22,NOIDA SEC 1 TO 74
441,NOIDA SEC 23,NOIDA SEC 1 TO 74
442,NOIDA SEC 24,NOIDA SEC 1 TO 74
443,NOIDA SEC 25,NOIDA SEC 1 TO 74
444,NOIDA SEC 26,NOIDA SEC 1 TO 74
445,NOIDA SEC 27,NOIDA SEC 1 TO 74
446,NOIDA SEC 28,NOIDA SEC 1 TO 74
447,NOIDA SEC 29,NOIDA SEC 1 TO 74
448,NOIDA SEC 3,NOIDA SEC 1 TO 74
449,NOIDA SEC 30,NOIDA SEC 1 TO 74
450,NOIDA SEC 31,NOIDA SEC 1 TO 74
451,NOIDA SEC 32,NOIDA SEC 1 TO 74
452,NOIDA SEC 33,NOIDA SEC 1 TO 74
453,NOIDA SEC 34,NOIDA SEC 1 TO 74
454,NOIDA SEC 35,NOIDA SEC 1 TO 74
455,NOIDA SEC 36,NOIDA SEC 1 TO 74
456,NOIDA SEC 37,NOIDA SEC 1 TO 74
457,NOIDA SEC 38,NOIDA SEC 1 TO 74
458,NOIDA SEC 39,NOIDA SEC 1 TO 74
459,NOIDA SEC 4,NOIDA SEC 1 TO 74
460,NOIDA SEC 40,NOIDA SEC 1 TO 74
461,NOIDA SEC 41,NOIDA SEC 1 TO 74
462,NOIDA SEC 42,NOIDA SEC 1 TO 74
463,NOIDA SEC 43,NOIDA SEC 1 TO 74
464,NOIDA SEC 44,NOIDA SEC 1 TO 74
465,NOIDA SEC 45,NOIDA SEC 1 TO 74
466,NOIDA SEC 46,NOIDA SEC 1 TO 74
467,NOIDA SEC 47,NOIDA SEC 1 TO 74
468,NOIDA SEC 48,NOIDA SEC 1 TO 74
469,NOIDA SEC 49,NOIDA SEC 1 TO 74
470,NOIDA SEC 5,NOIDA SEC 1 TO 74
471,NOIDA SEC 50,NOIDA SEC 1 TO 74
472,NOIDA SEC 51,NOIDA SEC 1 TO 74
473,NOIDA SEC 52,NOIDA SEC 1 TO 74
474,NOIDA SEC 53,NOIDA SEC 1 TO 74
475,NOIDA SEC 54,NOIDA SEC 1 TO 74
476,NOIDA SEC 55,NOIDA SEC 1 TO 74
477,NOIDA SEC 56,NOIDA SEC 1 TO 74
478,NOIDA SEC 57,NOIDA SEC 1 TO 74
479,NOIDA SEC 58,NOIDA SEC 1 TO 74
480,NOIDA SEC 59,NOIDA SEC 1 TO 74
481,NOIDA SEC 6,NOIDA SEC 1 TO 74
482,NOIDA SEC 60,NOIDA SEC 1 TO 74
483,NOIDA SEC 61,NOIDA SEC 1 TO 74
484,NOIDA SEC 62,NOIDA SEC 1 TO 74
485,NOIDA SEC 63,NOIDA SEC 1 TO 74
486,NOIDA SEC 64,NOIDA SEC 1 TO 74
487,NOIDA SEC 65,NOIDA SEC 1 TO 74
488,NOIDA SEC 66,NOIDA SEC 1 TO 74
489,NOIDA SEC 67,NOIDA SEC 1 TO 74
490,NOIDA SEC 68,NOIDA SEC 1 TO 74
491,NOIDA SEC 69,NOIDA SEC 1 TO 74
492,NOIDA SEC 7,NOIDA SEC 1 TO 74
493,NOIDA SEC 70,NOIDA SEC 1 TO 74
494,NOIDA SEC 71,NOIDA SEC 1 TO 74
495,NOIDA SEC 72,NOIDA SEC 1 TO 74
496,NOIDA SEC 73,NOIDA SEC 1 TO 74
497,NOIDA SEC 74,NOIDA SEC 1 TO 74
498,NOIDA SEC 8,NOIDA SEC 1 TO 74
499,NOIDA SEC 9,NOIDA SEC 1 TO 74
500,NOIDA ACHHEJA,NOIDA SEC 75 AND ABOVE
501,NOIDA SEC 100,NOIDA SEC 75 AND ABOVE
502,NOIDA SEC 101,NOIDA SEC 75 AND ABOVE
503,NOIDA SEC 102,NOIDA SEC 75 AND ABOVE
504,NOIDA SEC 103,NOIDA SEC 75 AND ABOVE
505,NOIDA SEC 104,NOIDA SEC 75 AND ABOVE
506,NOIDA SEC 105,NOIDA SEC 75 AND ABOVE
507,NOIDA SEC 106,NOIDA SEC 75 AND ABOVE
508,NOIDA SEC 107,NOIDA SEC 75 AND ABOVE
509,NOIDA SEC 108,NOIDA SEC 75 AND ABOVE
510,NOIDA SEC 109,NOIDA SEC 75 AND ABOVE
511,NOIDA SEC 110,NOIDA SEC 75 AND ABOVE
512,NOIDA SEC 111,NOIDA SEC 75 AND ABOVE
513,NOIDA SEC 112,NOIDA SEC 75 AND ABOVE
514,NOIDA SEC 113,NOIDA SEC 75 AND ABOVE
515,NOIDA SEC 114,NOIDA SEC 75 AND ABOVE
516,NOIDA SEC 115,NOIDA SEC 75 AND ABOVE
517,NOIDA SEC 116,NOIDA SEC 75 AND ABOVE
518,NOIDA SEC 117,NOIDA SEC 75 AND ABOVE
519,NOIDA SEC 118,NOIDA SEC 75 AND ABOVE
520,NOIDA SEC 119,NOIDA SEC 75 AND ABOVE
521,NOIDA SEC 120,NOIDA SEC 75 AND ABOVE
522,NOIDA SEC 121,NOIDA SEC 75 AND ABOVE
523,NOIDA SEC 122,NOIDA SEC 75 AND ABOVE
524,NOIDA SEC 123,NOIDA SEC 75 AND ABOVE
525,NOIDA SEC 124,NOIDA SEC 75 AND ABOVE
526,NOIDA SEC 125,NOIDA SEC 75 AND ABOVE
527,NOIDA SEC 126,NOIDA SEC 75 AND ABOVE
528,NOIDA SEC 127,NOIDA SEC 75 AND ABOVE
529,NOIDA SEC 128,NOIDA SEC 75 AND ABOVE
530,NOIDA SEC 129,NOIDA SEC 75 AND ABOVE
531,NOIDA SEC 130,NOIDA SEC 75 AND ABOVE
532,NOIDA SEC 131,NOIDA SEC 75 AND ABOVE
533,NOIDA SEC 132,NOIDA SEC 75 AND ABOVE
534,NOIDA SEC 133,NOIDA SEC 75 AND ABOVE
535,NOIDA SEC 134,NOIDA SEC 75 AND ABOVE
536,NOIDA SEC 135,NOIDA SEC 75 AND ABOVE
537,NOIDA SEC 136,NOIDA SEC 75 AND ABOVE
538,NOIDA SEC 137,NOIDA SEC 75 AND ABOVE
539,NOIDA SEC 138,NOIDA SEC 75 AND ABOVE
540,NOIDA SEC 139,NOIDA SEC 75 AND ABOVE
541,NOIDA SEC 140,NOIDA SEC 75 AND ABOVE
542,NOIDA SEC 141,NOIDA SEC 75 AND ABOVE
543,NOIDA SEC 142,NOIDA SEC 75 AND ABOVE
544,NOIDA SEC 143,NOIDA SEC 75 AND ABOVE
545,NOIDA SEC 144,NOIDA SEC 75 AND ABOVE
546,NOIDA SEC 145,NOIDA SEC 75 AND ABOVE
547,NOIDA SEC 146,NOIDA SEC 75 AND ABOVE
548,NOIDA SEC 147,NOIDA SEC 75 AND ABOVE
549,NOIDA SEC 148,NOIDA SEC 75 AND ABOVE
550,NOIDA SEC 149,NOIDA SEC 75 AND ABOVE
551,NOIDA SEC 150,NOIDA SEC 75 AND ABOVE
552,NOIDA SEC 151,NOIDA SEC 75 AND ABOVE
553,NOIDA SEC 152,NOIDA SEC 75 AND ABOVE
554,NOIDA SEC 153,NOIDA SEC 75 AND ABOVE
555,NOIDA SEC 154,NOIDA SEC 75 AND ABOVE
556,NOIDA SEC 155,NOIDA SEC 75 AND ABOVE
557,NOIDA SEC 156,NOIDA SEC 75 AND ABOVE
558,NOIDA SEC 157,NOIDA SEC 75 AND ABOVE
559,NOIDA SEC 158,NOIDA SEC 75 AND ABOVE
560,NOIDA SEC 159,NOIDA SEC 75 AND ABOVE
561,NOIDA SEC 160,NOIDA SEC 75 AND ABOVE
562,NOIDA SEC 161,NOIDA SEC 75 AND ABOVE
563,NOIDA SEC 162,NOIDA SEC 75 AND ABOVE
564,NOIDA SEC 163,NOIDA SEC 75 AND ABOVE
565,NOIDA SEC 164,NOIDA SEC 75 AND ABOVE
566,NOIDA SEC 165,NOIDA SEC 75 AND ABOVE
567,NOIDA SEC 166,NOIDA SEC 75 AND ABOVE
568,NOIDA SEC 167,NOIDA SEC 75 AND ABOVE
569,NOIDA SEC 168,NOIDA SEC 75 AND ABOVE
570,NOIDA SEC 75,NOIDA SEC 75 AND ABOVE
571,NOIDA SEC 76,NOIDA SEC 75 AND ABOVE
572,NOIDA SEC 77,NOIDA SEC 75 AND ABOVE
573,NOIDA SEC 78,NOIDA SEC 75 AND ABOVE
574,NOIDA SEC 79,NOIDA SEC 75 AND ABOVE
575,NOIDA SEC 80,NOIDA SEC 75 AND ABOVE
576,NOIDA SEC 81,NOIDA SEC 75 AND ABOVE
577,NOIDA SEC 82,NOIDA SEC 75 AND ABOVE
578,NOIDA SEC 83,NOIDA SEC 75 AND ABOVE
579,NOIDA SEC 84,NOIDA SEC 75 AND ABOVE
580,NOIDA SEC 85,NOIDA SEC 75 AND ABOVE
581,NOIDA SEC 86,NOIDA SEC 75 AND ABOVE
582,NOIDA SEC 87,NOIDA SEC 75 AND ABOVE
583,NOIDA SEC 88,NOIDA SEC 75 AND ABOVE
584,NOIDA SEC 89,NOIDA SEC 75 AND ABOVE
585,NOIDA SEC 90,NOIDA SEC 75 AND ABOVE
586,NOIDA SEC 91,NOIDA SEC 75 AND ABOVE
587,NOIDA SEC 92,NOIDA SEC 75 AND ABOVE
588,NOIDA SEC 93,NOIDA SEC 75 AND ABOVE
589,NOIDA SEC 94,NOIDA SEC 75 AND ABOVE
590,NOIDA SEC 95,NOIDA SEC 75 AND ABOVE
591,NOIDA SEC 96,NOIDA SEC 75 AND ABOVE
592,NOIDA SEC 97,NOIDA SEC 75 AND ABOVE
593,NOIDA SEC 98,NOIDA SEC 75 AND ABOVE
594,NOIDA SEC 99,NOIDA SEC 75 AND ABOVE
595,OKHLA,OKHLA
596,PAHAR GANJ,PAHAR GANJ
597,RK ASHRAM MARG,PAHAR GANJ
598,PALAM COLONY,PALAM COLONY / PALAM VILLAGE / MAGALA PURI
599,PANCHSHEEL VIHAR,PANCHSHEEL ENCL/ PANCHSHEEL VIHAR
600,PANDAV NAGAR,PANDAV NAGAR
601,PASCHIM VIHAR,PASCHIM VIHAR
602,BALJEET NAGAR,PATEL NAGAR
603,DELHI PATEL NAGAR,PATEL NAGAR
604,PATPARGANJ,PATPARGANJ
605,PEERA GARHI,PEERA GARHI
606,PRASAD NAGAR,PRASAD NAGAR
607,KISHAN GANJ,PRATAP NAGAR
608,PRATAP NAGAR,PRATAP NAGAR
609,PREET VIHAR,PREET VIHAR
610,PITAMPURA,PRITAMPURA
611,MADIPUR COLONY,PUNJABI BAGH
612,PUNJABI BAGH,PUNJABI BAGH
613,SUDERSHAN PARK,PUNJABI BAGH
614,PUSHP VIHAR,PUSHAP VIHAR
615,QUTUB VIHAR,QUTUB VIHAR
616,MATIALA,RAJA PURI
617,RAJAPURI,RAJA PURI
618,OLD RAJINDER NAGAR,RAJINDER NAGAR/ NEW RAJENDER NAGAR
619,PUSA CAMPUS,RAJINDER NAGAR/ NEW RAJENDER NAGAR
620,RAJINDER NAGAR,RAJINDER NAGAR/ NEW RAJENDER NAGAR
621,RAJOURI GARDEN,RAJOURI GARDEN
622,RAMA VIHAR,RAMA VIHAR
623,RAMESH NAGAR,RAMESH NAGAR
624,RANA PRATAP BAGH,RANA PRATAP BAGH
625,RANI BAGH,RANI BAGH
626,RK PURAM 10,RK PURAM (SEC 4 TO 10)
627,RK PURAM 4,RK PURAM (SEC 4 TO 10)
628,RK PURAM 5,RK PURAM (SEC 4 TO 10)
629,RK PURAM 6,RK PURAM (SEC 4 TO 10)
630,RK PURAM 7,RK PURAM (SEC 4 TO 10)
631,RK PURAM 8,RK PURAM (SEC 4 TO 10)
632,RK PURAM 9,RK PURAM (SEC 4 TO 10)
633,RK PURAM 1,RK PURAM SEC 1 2 3 11 12 13
634,RK PURAM 2,RK PURAM SEC 1 2 3 11 12 13
635,RK PURAM 3,RK PURAM SEC 1 2 3 11 12 13
636,RK PURAM 11,RK PURAM SEC 1 2 3 11 12 13
637,RK PURAM 12,RK PURAM SEC 1 2 3 11 12 13
638,RK PURAM 13,RK PURAM SEC 1 2 3 11 12 13
639,ROHINI SEC 1,ROHINI SEC 1 TO 4 6 TO 9 12 14
640,ROHINI SEC 12,ROHINI SEC 1 TO 4 6 TO 9 12 14
641,ROHINI SEC 14,ROHINI SEC 1 TO 4 6 TO 9 12 14
642,ROHINI SEC 2,ROHINI SEC 1 TO 4 6 TO 9 12 14
643,ROHINI SEC 3,ROHINI SEC 1 TO 4 6 TO 9 12 14
644,ROHINI SEC 4,ROHINI SEC 1 TO 4 6 TO 9 12 14
645,ROHINI SEC 6,ROHINI SEC 1 TO 4 6 TO 9 12 14
646,ROHINI SEC 7,ROHINI SEC 1 TO 4 6 TO 9 12 14
647,ROHINI SEC 8,ROHINI SEC 1 TO 4 6 TO 9 12 14
648,ROHINI SEC 9,ROHINI SEC 1 TO 4 6 TO 9 12 14
649,ROHINI SEC 11,ROHINI SEC 11 16 17 18 22 TO 25
650,ROHINI SEC 16,ROHINI SEC 11 16 17 18 22 TO 25
651,ROHINI SEC 17,ROHINI SEC 11 16 17 18 22 TO 25
652,ROHINI SEC 18,ROHINI SEC 11 16 17 18 22 TO 25
653,ROHINI SEC 22,ROHINI SEC 11 16 17 18 22 TO 25
654,ROHINI SEC 23,ROHINI SEC 11 16 17 18 22 TO 25
655,ROHINI SEC 24,ROHINI SEC 11 16 17 18 22 TO 25
656,ROHINI SEC 25,ROHINI SEC 11 16 17 18 22 TO 25
657,ROHINI SEC 26,ROHINI SEC 26 TO 39
658,ROHINI SEC 27,ROHINI SEC 26 TO 39
659,ROHINI SEC 28,ROHINI SEC 26 TO 39
660,ROHINI SEC 29,ROHINI SEC 26 TO 39
661,ROHINI SEC 30,ROHINI SEC 26 TO 39
662,ROHINI SEC 31,ROHINI SEC 26 TO 39
663,ROHINI SEC 32,ROHINI SEC 26 TO 39
664,ROHINI SEC 33,ROHINI SEC 26 TO 39
665,ROHINI SEC 34,ROHINI SEC 26 TO 39
666,ROHINI SEC 35,ROHINI SEC 26 TO 39
667,ROHINI SEC 36,ROHINI SEC 26 TO 39
668,ROHINI SEC 37,ROHINI SEC 26 TO 39
669,ROHINI SEC 38,ROHINI SEC 26 TO 39
670,ROHINI SEC 39,ROHINI SEC 26 TO 39
671,ROHINI SEC 10,ROHINI SEC 5 10 13 15 19 20 21
672,ROHINI SEC 13,ROHINI SEC 5 10 13 15 19 20 21
673,ROHINI SEC 15,ROHINI SEC 5 10 13 15 19 20 21
674,ROHINI SEC 19,ROHINI SEC 5 10 13 15 19 20 21
675,ROHINI SEC 20,ROHINI SEC 5 10 13 15 19 20 21
676,ROHINI SEC 21,ROHINI SEC 5 10 13 15 19 20 21
677,ROHINI SEC 5,ROHINI SEC 5 10 13 15 19 20 21
678,OLD SUBJI MANDI,SABJI MANDI
679,DELHI CANTT,SADAR BAZAR DELHI CANTT SURYA VIHAR
680,SADAR BAZAR,SADAR BAZAR DELHI CANTT SURYA VIHAR
681,SADIQ NAGAR,SADIQ NAGAR
682,HUMAYUN PUR,SAFDARJUNG ENCLAVE
683,SAFDARJUNG ENCLAVE,SAFDARJUNG ENCLAVE
684,SAGARPUR,SAGARPUR
685,SAKET,SAKET / SAKET COURT
686,SAMALKA,SAMALKA
687,SARITA VIHAR,SARITA VIHAR
688,SAROJINI NAGAR,SAROJINI NAGAR
689,SAVITRI NAGAR,SAVITRI NAGAR
690,FBD SEC 11,SEC 11 FBD
691,GGN SEC 113,SEC 113 GGN
692,FBD SEC 14,SEC 14 FBD
693,FBD SEC 16,SEC 16 FBD
694,SOHNA SEC 32,SEC 32 SOHNA
695,SOHNA SEC 33,SEC 33 SOHNA
696,SOHNA SEC 36,SEC 36 SOHNA
697,GGN SEC 36A,SEC 36A GGN
698,FBD SEC 42,SEC 42 FBD
699,GGN SEC 48,SEC 48 GGN
700,GGN SEC 49,SEC 49 GGN
701,GGN SOUTH CITY 2,SEC 49 GGN
702,FBD SEC 77,SEC 77 FBD
703,GGN SEC 8,SEC 8 GGN
704,GGN SEC 92,SEC 92 GGN
705,GGN SEC 99A,SEC 99A GGN
706,SHAHEEN BAGH,SHAAIN BAGH
707,SHAHBAD MOHAMMEDPUR,SHAHBAD MOHAMMEDPUR
708,JAGATPURI EXTN,SHAHDRA
709,JP NAGAR,SHAHDRA
710,SHAHDARA,SHAHDRA
711,VISHWAS NAGAR,SHAHDRA
712,SHAKARPUR,SHAKARPUR
713,SHAKTI NAGAR,SHAKATI NAGAR
714,SHAKUR BASTI,SHAKUR BASTI
715,SHAKURPUR,SHAKURPUR
716,SHALIMAR BAGH,SHALIMAR BAGH / SURAI MAL VIHAR
717,SHASTRI NAGAR,SHASHATRI NAGAR
718,SHEIKH SARAI,SHEIKH SARAI
719,FBD SHIV COLONY,SHIV COLONY FBD
720,SITAPURI,SITAPURI
721,MARUTI KUNJ,SOHNA GAON
722,MOHAMMADPUR GUJAR,SOHNA GAON
723,SOHNA,SOHNA GAON
724,SOHNA GAON,SOHNA GAON
725,SOUTH EXTN,SOUTH EXTN 1 AND 2
726,SUBHASH NAGAR,SUBHASH NAGAR
727,SUKHDEV VIHAR,SUKHDEV VIHAR
728,SULTANPUR,SULTANPUR ESTATE
729,SURAJMAL VIHAR,SURAJMAL VIHAR
730,SHIVAJI VIHAR,TAGORE GARDEN
731,TAGORE GARDEN,TAGORE GARDEN
732,MANAK VIHAR,TILAK NAGAR
733,TILAK NAGAR,TILAK NAGAR
734,TIMARPUR,TIMAR PUR
735,TRI NAGAR,TRI NAGAR
736,TRILOKPURI,TRILOK PURI (MAYUR VIHAR)
737,TUGHLAKABAD,TUGHLAKABAD
738,DWARKA MOR,UTTAM NAGAR
739,PANKHA ROAD,UTTAM NAGAR
740,UTTAM NAGAR,UTTAM NAGAR
741,VASANT ENCLAVE,VASANT ENCLAVE
742,VASANT KUNJ C,VASANT KUNJ SEC C-1 2 5 8 AND 9)
743,VASANT KUNJ 13,VASANT KUNJ SEC D3 6 AND 7
744,VASANT VIHAR,VASANT VIHAR
745,VASUNDHARA ENCLAVE,VASUNDHRA ENCLAVE (DELHI)
746,VIKAS NAGAR,VIKAS NAGAR
747,VIKASPURI,VIKAS PURI
748,VINOD NAGAR,VINOD NAGAR
749,VIPIN GARDEN,VIPIN GARDEN
750,VIRENDER NAGAR,VIRENDER NAGAR
751,VISHNU GARDEN,VISHNU GARDEN
752,WAZIRABAD,WAZIRABAD
753,YAMUNA VIHAR,YAMUNA VIHAR
754,BALLABHGARH,BALLABHGARH
755,ARYA PURA,SABJI MANDI
756,GGN ARJUN NAGAR,SEC 8 GGN
757,GZB CHHAPRAULA,GAZIABAD CROSSING
758,BHARAT VIHAR,DWARKA SEC 3 4 12 13 14 16 17
759,MEER VIHAR,ROHINI SEC 26 TO 39
760,GZB TURAB NAGAR,GAZIABAD CROSSING
761,GZB PRATEEK GRAND CITY,GAZIABAD SHAHIBABAD INDIRAPURAM VAISHALI
762,TIHAR VILLAGE,SUBHASH NAGAR
763,NARAINA VIHAR,NARAINA/ NARAINA VIHAR
764,GZB NITI KHAND,GAZIABAD SHAHIBABAD INDIRAPURAM VAISHALI
765,JHARODA MAJRA,BURARI
